stop_id,stop_name,stop_lat,stop_lon,zone_id
prg:aro:289,"Rossas",40.91733348870891,-8.304505885006412,anda:ARC7
prg:aro:29,"Várzeas",40.95859395419493,-8.139284642783625,anda:ARC17
prg:aro:290,"Portelada",40.96518550539184,-8.394219825132286,anda:ARC20
prg:aro:291,"Cela (Urrô)",40.921185526741844,-8.289965772885273,anda:ARC1
prg:aro:292,"Provisende",40.893814077566205,-8.31753118549887,anda:ARC6
prg:aro:293,"Fermêdo (Cabeçais)",40.94988156051011,-8.425135528078734,anda:ARC20
prg:aro:294,"Arouca (Hotel)",40.93006701275831,-8.241583516532994,anda:ARC1
prg:aro:295,"Arouca (S. Pedro)",40.92811658425183,-8.238870136258484,anda:ARC1
prg:aro:296,"Abelheira",40.937447853687694,-8.400712735871089,anda:ARC19
prg:aro:297,"Souto Redondo(Cruzeiro)",40.89505224702408,-8.294922787557507,anda:ARC6
prg:aro:298,"R. da Lomba",40.91220416873165,-8.353800664279602,anda:ARC15
prg:aro:299,"Carvoeiro 2",40.91061694333437,-8.315442928171295,anda:ARC7
prg:aro:3,"Urrô (Igreja)",40.92797884147275,-8.294541870719545,anda:ARC7
prg:aro:30,"Ribeira",40.964335383470576,-8.159462292451106,anda:ARC9
prg:aro:300,"Canelas (Bairro da Salvação)",40.97569345203367,-8.20210113290977,anda:ARC2
prg:aro:301,"Cavada",40.92552776834211,-8.281473977185987,anda:ARC1
prg:aro:302,"Mosteirô",40.96403851706599,-8.383570493513028,anda:ARC20
prg:aro:303,"Cruz. Telhe",40.90719978282397,-8.179994092765652,anda:ARC11
prg:aro:304,"Tropeço (Carvalhal)",40.93710115186999,-8.335382833781091,anda:ARC15
prg:aro:305,"Alagoas",40.923824237080844,-8.392756037064583,anda:ARC19
prg:aro:306,"1º de Maio",40.91697800477826,-8.361482859734235,anda:ARC15
prg:aro:307,"Carvalhal Redondo",40.974174648029695,-8.359576968019912,anda:ARC21
prg:aro:308,"Cruzamento Noninha",40.96676483452241,-8.149917232647311,anda:ARC9
prg:aro:309,"Sá",40.917614527048684,-8.27522583258573,anda:ARC1
prg:aro:31,"Arouca (Cabreira)",40.93172927199916,-8.238197451520197,anda:ARC1
prg:aro:310,"Albergaria da Serra",40.8674740019032,-8.274563801029933,anda:ARC13
prg:aro:311,"Moldes (Igreja)",40.914871946969186,-8.23537781821696,anda:ARC4
prg:aro:312,"Gamarão de Baixo",40.95164132921413,-8.223657656751579,anda:ARC2
prg:aro:313,"Espiunca (Melres)",40.98902103135321,-8.21825630442391,anda:ARC8
prg:aro:314,"Chão D'Ave",40.889835838094115,-8.343771638401106,anda:ARC14
prg:aro:315,"Escariz (Cruz. Junta de Freguesia)",40.94321056096232,-8.408564599230125,anda:ARC19
prg:aro:316,"Santa Maria do Monte (Escola)",40.906239479199236,-8.274233812264702,anda:ARC5
prg:aro:317,"Ribeira Cela",40.92664325922075,-8.34657890445535,anda:ARC15
prg:aro:318,"Alto das Agras",40.941772000112394,-8.362438455172178,anda:ARC15
prg:aro:319,"Mansores (Cruz. Z.I. da Mata)",40.93298543760305,-8.362495459257577,anda:ARC15
prg:aro:32,"Cruzamento Noninha",40.966655776454225,-8.149994541488065,anda:ARC9
prg:aro:320,"Alvarenga (Pirraça 2)",40.96351469427605,-8.151598842886145,anda:ARC9
prg:aro:321,"Moldes (Ribeiro)",40.912224440946844,-8.233588572354892,anda:ARC4
prg:aro:322,"Moldes (Celadinha)",40.914936622597885,-8.189077963729217,anda:ARC4
prg:aro:323,"Ribeira Cela",40.926766952739385,-8.346478252174881,anda:ARC15
prg:aro:324,"Casinha",40.92647106850872,-8.279397785909488,anda:ARC1
prg:aro:325,"Espiunca (Melres)",40.988938196812654,-8.218358445937325,anda:ARC8
prg:aro:326,"Vér",40.95126572653449,-8.392692008703689,anda:ARC20
prg:aro:327,"Rossas 3",40.91317698951282,-8.308971023454104,anda:ARC7
prg:aro:328,"Borralhoso",40.97289001439314,-8.374903096019478,anda:ARC21
prg:aro:329,"Cruz. Lamas",40.93608155834418,-8.30815529130897,anda:ARC7
prg:aro:33,"Gamarão de Baixo",40.95171318784184,-8.22365632968995,anda:ARC2
prg:aro:330,"Bouça 4",40.89285086375792,-8.337188926989903,anda:ARC14
prg:aro:331,"Farrapa",40.895933023042836,-8.352119868579248,anda:ARC14
prg:aro:332,"Fermêdo (Junta de Freguesia)",40.954115033303836,-8.416722566183687,anda:ARC20
prg:aro:333,"Pousadouro",40.930262020861605,-8.306132655026072,anda:ARC7
prg:aro:334,"Bouça",40.89537851694545,-8.330352709465888,anda:ARC14
prg:aro:335,"Rossas 3",40.91309758669203,-8.308854458083147,anda:ARC7
prg:aro:336,"Cruz. Lamas",40.9359854390571,-8.30787158630953,anda:ARC7
prg:aro:337,"Baloca",40.98686035196739,-8.387085481284124,anda:ARC21
prg:aro:338,"R. de Sto. António",40.94220924821208,-8.360091240688082,anda:ARC15
prg:aro:339,"Carvalhal Redondo",40.974112962020094,-8.35948595316853,anda:ARC21
prg:aro:34,"Areinho",40.953846058827004,-8.173889398988734,anda:ARC9
prg:aro:340,"Amial",40.92031711155426,-8.295748624739742,anda:ARC7
prg:aro:341,"Cruz. Póvoa",40.90736238535379,-8.229332463251781,anda:ARC4
prg:aro:342,"Santa Marinha",40.930244303516716,-8.300835591973124,anda:ARC7
prg:aro:343,"Souto Redondo",40.89211594473507,-8.292135676351077,anda:ARC6
prg:aro:344,"Burgo (Zona Comercial)",40.927262931012116,-8.263098471050908,anda:ARC1
prg:aro:345,"Espiunca",40.992704848134885,-8.21276562286661,anda:ARC8
prg:aro:346,"Fermêdo (R. N.ª Sr.ª da Saúde)",40.94981234389717,-8.416763987557886,anda:ARC20
prg:aro:347,"Soutelo",40.91370491992415,-8.363041423847626,anda:ARC15
prg:aro:348,"Arouca (Hotel)",40.93010174413688,-8.24175559431734,anda:ARC1
prg:aro:349,"Moldes (Portela)",40.92119379177653,-8.232055163549576,anda:ARC1
prg:aro:35,"Pernousela",40.935857505570475,-8.24470210925912,anda:ARC1
prg:aro:350,"Farrapa",40.89594756906184,-8.352041304939695,anda:ARC14
prg:aro:351,"Farrapa 5",40.896030850115494,-8.363151220698613,anda:ARC14
prg:aro:352,"Fuste",40.903110424345094,-8.219424010153542,anda:ARC4
prg:aro:353,"Mansores (R. N.ª Sr.ª do Rosário)",40.93254534460232,-8.366191263138893,anda:ARC15
prg:aro:354,"S. Lázaro",40.99063206384325,-8.37328975564155,anda:ARC21
prg:aro:355,"Moldes (Portela)",40.92110812484027,-8.232039625416,anda:ARC1
prg:aro:356,"Tropeço (Igreja)",40.93441671295116,-8.306059052073056,anda:ARC7
prg:aro:357,"Farrapa 5",40.89594397184142,-8.363093916722733,anda:ARC14
prg:aro:358,"Canelas (Bairro da Salvação)",40.97571693993149,-8.201983484064003,anda:ARC2
prg:aro:359,"Escariz (Cruz. R. Emigrante)",40.94528847362029,-8.420960556791277,anda:ARC19
prg:aro:36,"Mosteirô (Capela)",40.96245617397023,-8.37755072148405,anda:ARC20
prg:aro:360,"Alvarenga (Boavista)",40.96791344539703,-8.153943613549801,anda:ARC9
prg:aro:361,"Moldes (Modernas)",40.91989368392148,-8.22715990970057,anda:ARC4
prg:aro:362,"Cruz. Póvoa",40.90737482000812,-8.229218049573126,anda:ARC4
prg:aro:363,"Cruz. Trav. do Viso",40.9280834176109,-8.372648444401705,anda:ARC15
prg:aro:364,"Regoufe",40.879217087924516,-8.131928945889184,anda:ARC18
prg:aro:365,"Tropeço (Aldeia)",40.93361623789226,-8.33795122582524,anda:ARC15
prg:aro:366,"Arouca (S. Pedro)",40.92818855527617,-8.238800743158471,anda:ARC1
prg:aro:367,"Canelas (Junta de Freguesia)",40.96947094036066,-8.204477029054381,anda:ARC2
prg:aro:368,"Vér (Capela)",40.94999096017507,-8.395927525168062,anda:ARC20
prg:aro:369,"Fermêdo (Cruz. Abrunhal)",40.95032664917201,-8.410921999973057,anda:ARC20
prg:aro:37,"Arouca (Zona Industrial -Nascente)",40.92170836910215,-8.240509003732106,anda:ARC1
prg:aro:370,"Forno Telheiro",40.92370724355177,-8.286648619764872,anda:ARC1
prg:aro:371,"Moldes (Ponte de Telhe)",40.91158812262284,-8.187331111038166,anda:ARC4
prg:aro:372,"Escariz (Cruz. R. Emigrante)",40.94540351084316,-8.421008746997948,anda:ARC19
prg:aro:373,"Senras (Rossas)",40.91598773635935,-8.315250375516872,anda:ARC7
prg:aro:374,"Alvarenga (Paço)",40.968870754020024,-8.160326469407975,anda:ARC9
prg:aro:375,"Covelas",40.97465071551255,-8.401098350667665,anda:ARC20
prg:aro:376,"Cruz. Lourosa de Matos",40.9002345941259,-8.287311859481859,anda:ARC6
prg:aro:377,"Cela do Arda",40.987504753711896,-8.347846231864684,anda:ARC21
prg:aro:378,"Canelas (Junta de Freguesia)",40.969420017434,-8.204421156519507,anda:ARC2
prg:aro:379,"Provisende de Baixo",40.89198430277847,-8.311035823381888,anda:ARC6
prg:aro:38,"Mealha",40.956015011207136,-8.215231863264531,anda:ARC2
prg:aro:380,"Rossas 2",40.91596582846928,-8.306864119623702,anda:ARC7
prg:aro:381,"Areinho",40.95368693501659,-8.174066096635958,anda:ARC9
